size,seed,role,algo,repeat,ok,error,time_ns,tracemalloc_peak_bytes,rss_delta_bytes,ascii_h,ascii_w,wall_count,corridor_count,path_length,explored_count,visited_count,other_count,gen_source
1,1,generator,Backtracking,1,1,,70800,1928,,3,3,6,3,0,0,0,0,Backtracking
1,1,generator,Kruskal,1,1,,58400,2040,,3,3,6,3,0,0,0,0,Kruskal
1,1,solver,Backtracking,1,1,,79800,3032,,3,3,6,3,3,0,3,0,Backtracking
1,1,solver,AStar,1,1,,91700,3016,,3,3,6,3,3,0,3,0,Backtracking
1,1,solver,Backtracking,1,1,,62700,2992,,3,3,6,3,3,0,3,0,Kruskal
1,1,solver,AStar,1,1,,62300,2968,,3,3,6,3,3,0,3,0,Kruskal
2,1,generator,Backtracking,1,1,,136900,2792,,5,5,16,9,0,0,0,0,Backtracking
2,1,generator,Kruskal,1,1,,91500,3096,,5,5,16,9,0,0,0,0,Kruskal
2,1,solver,Backtracking,1,1,,120600,4544,,5,5,16,9,7,2,9,0,Backtracking
2,1,solver,AStar,1,1,,101300,4504,,5,5,16,9,7,0,7,0,Backtracking
2,1,solver,Backtracking,1,1,,117100,4496,,5,5,16,9,7,2,9,0,Kruskal
2,1,solver,AStar,1,1,,97600,4456,,5,5,16,9,7,0,7,0,Kruskal
3,1,generator,Backtracking,1,1,,284300,3312,,7,7,30,19,0,0,0,0,Backtracking
3,1,generator,Kruskal,1,1,,124800,4712,,7,7,30,19,0,0,0,0,Kruskal
3,1,solver,Backtracking,1,1,,191100,6752,,7,7,30,19,11,8,19,0,Backtracking
3,1,solver,AStar,1,1,,127900,5960,,7,7,30,19,11,0,11,0,Backtracking
3,1,solver,Backtracking,1,1,,173200,6592,,7,7,30,19,11,6,17,0,Kruskal
3,1,solver,AStar,1,1,,137300,5984,,7,7,30,19,11,4,15,0,Kruskal
4,1,generator,Backtracking,1,1,,316700,4688,,9,9,48,33,0,0,0,0,Backtracking
4,1,generator,Kruskal,1,1,,167600,7704,,9,9,48,33,0,0,0,0,Kruskal
4,1,solver,Backtracking,1,1,,273000,10032,,9,9,48,33,31,2,33,0,Backtracking
4,1,solver,AStar,1,1,,219800,10336,,9,9,48,33,31,0,31,0,Backtracking
4,1,solver,Backtracking,1,1,,281800,9792,,9,9,48,33,19,10,29,0,Kruskal
4,1,solver,AStar,1,1,,232300,10328,,9,9,48,33,19,2,21,0,Kruskal
5,1,generator,Backtracking,1,1,,426500,5552,,11,11,70,51,0,0,0,0,Backtracking
5,1,generator,Kruskal,1,1,,232400,11024,,11,11,70,51,0,0,0,0,Kruskal
5,1,solver,Backtracking,1,1,,386200,14536,,11,11,70,51,35,16,51,0,Backtracking
5,1,solver,AStar,1,1,,268900,11624,,11,11,70,51,35,2,37,0,Backtracking
5,1,solver,Backtracking,1,1,,332200,14616,,11,11,70,51,19,24,43,0,Kruskal
5,1,solver,AStar,1,1,,261900,11648,,11,11,70,51,19,16,35,0,Kruskal
6,1,generator,Backtracking,1,1,,566000,6456,,13,13,96,73,0,0,0,0,Backtracking
6,1,generator,Kruskal,1,1,,289700,15096,,13,13,96,73,0,0,0,0,Kruskal
6,1,solver,Backtracking,1,1,,517500,18352,,13,13,96,73,31,42,73,0,Backtracking
6,1,solver,AStar,1,1,,253500,12264,,13,13,96,73,31,2,33,0,Backtracking
6,1,solver,Backtracking,1,1,,364800,16088,,13,13,96,73,23,26,49,0,Kruskal
6,1,solver,AStar,1,1,,221100,12512,,13,13,96,73,23,4,27,0,Kruskal
7,1,generator,Backtracking,1,1,,739500,7824,,15,15,126,99,0,0,0,0,Backtracking
7,1,generator,Kruskal,1,1,,418600,19920,,15,15,126,99,0,0,0,0,Kruskal
7,1,solver,Backtracking,1,1,,644200,26152,,15,15,126,99,79,12,91,0,Backtracking
7,1,solver,AStar,1,1,,577900,31608,,15,15,126,99,79,12,91,0,Backtracking
7,1,solver,Backtracking,1,1,,651300,26176,,15,15,126,99,39,58,97,0,Kruskal
7,1,solver,AStar,1,1,,509600,26120,,15,15,126,99,39,40,79,0,Kruskal
8,1,generator,Backtracking,1,1,,966000,10160,,17,17,160,129,0,0,0,0,Backtracking
8,1,generator,Kruskal,1,1,,494400,26632,,17,17,160,129,0,0,0,0,Kruskal
8,1,solver,Backtracking,1,1,,799600,30088,,17,17,160,129,79,42,121,0,Backtracking
8,1,solver,AStar,1,1,,902700,32968,,17,17,160,129,79,10,89,0,Backtracking
8,1,solver,Backtracking,1,1,,789800,29152,,17,17,160,129,31,80,111,0,Kruskal
8,1,solver,AStar,1,1,,634600,18880,,17,17,160,129,31,12,43,0,Kruskal
9,1,generator,Backtracking,1,1,,1209200,11936,,19,19,198,163,0,0,0,0,Backtracking
9,1,generator,Kruskal,1,1,,639000,32928,,19,19,198,163,0,0,0,0,Kruskal
9,1,solver,Backtracking,1,1,,1123400,35968,,19,19,198,163,95,60,155,0,Backtracking
9,1,solver,AStar,1,1,,735300,34320,,19,19,198,163,95,16,111,0,Backtracking
9,1,solver,Backtracking,1,1,,792300,30320,,19,19,198,163,55,44,99,0,Kruskal
9,1,solver,AStar,1,1,,795300,35224,,19,19,198,163,55,76,131,0,Kruskal
10,1,generator,Backtracking,1,1,,1558900,13304,,21,21,240,201,0,0,0,0,Backtracking
10,1,generator,Kruskal,1,1,,734500,40168,,21,21,240,201,0,0,0,0,Kruskal
10,1,solver,Backtracking,1,1,,1253600,49072,,21,21,240,201,91,102,193,0,Backtracking
