size,seed,role,algo,repeat,ok,error,time_ns,tracemalloc_peak_bytes,rss_delta_bytes,ascii_h,ascii_w,wall_count,corridor_count,path_length,explored_count,visited_count,other_count
1,1,generator,Backtracking,1,1,,52500,3735,0,3,3,6,3,0,0,0,0
1,2,generator,Backtracking,2,1,,47100,3719,0,3,3,6,3,0,0,0,0
1,3,generator,Backtracking,3,1,,58400,3703,0,3,3,6,3,0,0,0,0
1,4,generator,Backtracking,4,1,,40300,3687,0,3,3,6,3,0,0,0,0
1,5,generator,Backtracking,5,1,,43000,3671,0,3,3,6,3,0,0,0,0
1,1,generator,Kruskal,1,1,,62600,3599,0,3,3,6,3,0,0,0,0
1,2,generator,Kruskal,2,1,,56800,3583,0,3,3,6,3,0,0,0,0
1,3,generator,Kruskal,3,1,,54300,3551,0,3,3,6,3,0,0,0,0
1,4,generator,Kruskal,4,1,,54800,3535,0,3,3,6,3,0,0,0,0
1,5,generator,Kruskal,5,1,,48200,3519,0,3,3,6,3,0,0,0,0
1,1,solver,Backtracking,1,1,,83200,4300,0,3,3,6,3,3,0,3,0
1,2,solver,Backtracking,2,1,,56100,4268,0,3,3,6,3,3,0,3,0
1,3,solver,Backtracking,3,1,,52000,4236,0,3,3,6,3,3,0,3,0
1,4,solver,Backtracking,4,1,,55500,4196,0,3,3,6,3,3,0,3,0
1,5,solver,Backtracking,5,1,,56200,4164,0,3,3,6,3,3,0,3,0
1,1,solver,AStar,1,1,,66400,4116,0,3,3,6,3,3,0,3,0
1,2,solver,AStar,2,1,,52400,4092,0,3,3,6,3,3,0,3,0
1,3,solver,AStar,3,1,,49700,4060,0,3,3,6,3,3,0,3,0
1,4,solver,AStar,4,1,,50700,4036,0,3,3,6,3,3,0,3,0
1,5,solver,AStar,5,1,,55500,4020,0,3,3,6,3,3,0,3,0
2,1,generator,Backtracking,1,1,,117300,4079,0,5,5,16,9,0,0,0,0
2,2,generator,Backtracking,2,1,,99300,4079,0,5,5,16,9,0,0,0,0
2,3,generator,Backtracking,3,1,,116700,4079,0,5,5,16,9,0,0,0,0
2,4,generator,Backtracking,4,1,,100700,4079,0,5,5,16,9,0,0,0,0
2,5,generator,Backtracking,5,1,,115600,4079,0,5,5,16,9,0,0,0,0
2,1,generator,Kruskal,1,1,,87800,4303,0,5,5,16,9,0,0,0,0
2,2,generator,Kruskal,2,1,,123300,4303,0,5,5,16,9,0,0,0,0
2,3,generator,Kruskal,3,1,,77000,4303,0,5,5,16,9,0,0,0,0
2,4,generator,Kruskal,4,1,,76900,4303,0,5,5,16,9,0,0,0,0
2,5,generator,Kruskal,5,1,,77100,4303,0,5,5,16,9,0,0,0,0
